id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
84858,cb581061,2023/02/21 13:04:09,1,defe41ccbletest0,,-71.875,2,,1676955894000
84863,cb581061,2023/02/21 13:04:10,1,defe41ccbletest0,,-75.0,2,,1676955894000
84865,cb581061,2023/02/21 13:04:11,1,defe41ccbletest0,,-71.57142857142857,2,,1676955894000
84869,cb581061,2023/02/21 13:04:12,1,defe41ccbletest0,,-73.1,2,,1676955894000
84875,cb581061,2023/02/21 13:04:13,1,defe41ccbletest0,,-72.75,2,,1676955894000
84877,cb581061,2023/02/21 13:04:14,1,defe41ccbletest0,,-70.33333333333333,2,,1676955894000
84883,cb581061,2023/02/21 13:04:15,1,defe41ccbletest0,,-66.25,2,,1676955894000
84891,cb581061,2023/02/21 13:04:17,1,defe41ccbletest0,,-69.6,2,,1676955894000
84893,cb581061,2023/02/21 13:04:18,1,defe41ccbletest0,,-85.0,5,,1676955894000
84897,cb581061,2023/02/21 13:04:19,1,defe41ccbletest0,,-72.5,2,,1676955894000
84903,cb581061,2023/02/21 13:04:20,1,defe41ccbletest0,,-73.1,2,,1676955894000
84910,cb581061,2023/02/21 13:04:21,1,defe41ccbletest0,,-70.8,2,,1676955894000
84916,cb581061,2023/02/21 13:04:22,1,defe41ccbletest0,,-70.0,2,,1676955894000
84918,cb581061,2023/02/21 13:04:23,1,defe41ccbletest0,,-68.75,2,,1676955894000
85500,cb581061,2023/02/21 13:04:58,1,defe41ccbletest0,,-85.0,5,,1676955995000
85506,cb581061,2023/02/21 13:04:59,1,defe41ccbletest0,,-79.0,3,,1676955995000
85512,cb581061,2023/02/21 13:05:00,1,defe41ccbletest0,,-80.85714285714286,3,,1676955995000
85520,cb581061,2023/02/21 13:05:01,1,defe41ccbletest0,,-77.0,3,,1676955995000
85522,cb581061,2023/02/21 13:05:02,1,defe41ccbletest0,,-77.4,3,,1676955995000
85530,cb581061,2023/02/21 13:05:03,1,defe41ccbletest0,,-79.2,3,,1676955995000
85532,cb581061,2023/02/21 13:05:04,1,defe41ccbletest0,,-75.5,2,,1676955995000
85534,cb581061,2023/02/21 13:05:05,1,defe41ccbletest0,,-79.66666666666667,3,,1676955995000
85544,cb581061,2023/02/21 13:05:07,1,defe41ccbletest0,,-70.5,2,,1676955995000
85548,cb581061,2023/02/21 13:05:08,1,defe41ccbletest0,,-90.66666666666669,5,,1676955995000
85550,cb581061,2023/02/21 13:05:09,1,defe41ccbletest0,,-79.71428571428571,3,,1676955995000
85554,cb581061,2023/02/21 13:05:10,1,defe41ccbletest0,,-77.0,3,,1676955995000
85557,cb581061,2023/02/21 13:05:11,1,defe41ccbletest0,,-73.0,2,,1676955995000
85559,cb581061,2023/02/21 13:05:12,1,defe41ccbletest0,,-76.66666666666667,3,,1676955995000
85562,cb581061,2023/02/21 13:05:13,1,defe41ccbletest0,,-75.75,2,,1676955995000
85564,cb581061,2023/02/21 13:05:14,1,defe41ccbletest0,,-79.11111111111111,3,,1676955995000
85566,cb581061,2023/02/21 13:05:15,1,defe41ccbletest0,,-77.4,3,,1676955995000
