id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
85053,fedc20de,2023/02/21 13:04:01,1,cb581061bletest0,,-60.0,1,,1676955941000
85058,fedc20de,2023/02/21 13:04:03,1,cb581061bletest0,,-65.0,1,,1676955941000
85061,fedc20de,2023/02/21 13:04:04,1,cb581061bletest0,,-63.5,1,,1676955941000
85066,fedc20de,2023/02/21 13:04:06,1,cb581061bletest0,,-62.0,1,,1676955941000
85069,fedc20de,2023/02/21 13:04:07,1,cb581061bletest0,,-68.0,2,,1676955941000
85072,fedc20de,2023/02/21 13:04:08,1,cb581061bletest0,,-69.0,2,,1676955941000
85076,fedc20de,2023/02/21 13:04:09,1,cb581061bletest0,,-66.0,2,,1676955941000
85715,fedc20de,2023/02/21 13:05:45,1,cb581061bletest0,,-61.0,1,,1676956030000
85719,fedc20de,2023/02/21 13:05:47,1,cb581061bletest0,,-66.33333333333333,2,,1676956030000
85723,fedc20de,2023/02/21 13:05:48,1,cb581061bletest0,,-60.0,1,,1676956030000
85680,fedc20de,2023/02/21 13:06:24,1,cb581061bletest0,,-59.0,1,,1676956030000
85682,fedc20de,2023/02/21 13:06:25,1,cb581061bletest0,,-60.0,1,,1676956030000
85684,fedc20de,2023/02/21 13:06:26,1,cb581061bletest0,,-67.0,2,,1676956030000
85686,fedc20de,2023/02/21 13:06:27,1,cb581061bletest0,,-66.0,2,,1676956030000
85690,fedc20de,2023/02/21 13:06:29,1,cb581061bletest0,,-56.0,1,,1676956030000
85692,fedc20de,2023/02/21 13:06:30,1,cb581061bletest0,,-61.5,1,,1676956030000
85695,fedc20de,2023/02/21 13:06:32,1,cb581061bletest0,,-61.0,1,,1676956030000
85696,fedc20de,2023/02/21 13:06:33,1,cb581061bletest0,,-68.5,2,,1676956030000
86294,fedc20de,2023/02/21 13:07:14,1,cb581061bletest0,,-65.0,1,,1676956117000
86298,fedc20de,2023/02/21 13:07:15,1,cb581061bletest0,,-74.0,2,,1676956117000
86300,fedc20de,2023/02/21 13:07:16,1,cb581061bletest0,,-66.0,2,,1676956117000
86304,fedc20de,2023/02/21 13:07:18,1,cb581061bletest0,,-68.0,2,,1676956117000
86309,fedc20de,2023/02/21 13:07:20,1,cb581061bletest0,,-68.33333333333333,2,,1676956117000
86311,fedc20de,2023/02/21 13:07:22,1,cb581061bletest0,,-65.0,1,,1676956117000
