id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
92105,cb581061,2023/02/21 13:24:00,1,f69de6fcbletest0,,-61,1,,1676957074000
92682,cb581061,2023/02/21 13:25:24,1,f69de6fcbletest0,,-69,2,,1676957168000
92721,cb581061,2023/02/21 13:25:36,1,f69de6fcbletest0,,-67,2,,1676957168000
93140,cb581061,2023/02/21 13:26:16,1,f69de6fcbletest0,,-73,2,,1676957256000
93141,cb581061,2023/02/21 13:26:17,1,f69de6fcbletest0,,-74,2,,1676957256000
93711,cb581061,2023/02/21 13:27:44,1,f69de6fcbletest0,,-62,1,,1676957345000
93713,cb581061,2023/02/21 13:27:45,1,f69de6fcbletest0,,-56,1,,1676957345000
94369,cb581061,2023/02/21 13:29:56,1,f69de6fcbletest0,,-48,1,,1676957439000
94944,cb581061,2023/02/21 13:30:53,1,f69de6fcbletest0,,-68,2,,1676957530000
95644,cb581061,2023/02/21 13:33:17,1,f69de6fcbletest0,,-73,2,,1676957636000
