id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
92103,cb581061,2023/02/21 13:24:00,1,fedc20debletest0,,-63.75,1,,1676957074000
92107,cb581061,2023/02/21 13:24:01,1,fedc20debletest0,,-70.0,2,,1676957074000
92109,cb581061,2023/02/21 13:24:02,1,fedc20debletest0,,-65.83333333333333,2,,1676957074000
92111,cb581061,2023/02/21 13:24:03,1,fedc20debletest0,,-61.9,1,,1676957074000
92113,cb581061,2023/02/21 13:24:04,1,fedc20debletest0,,-53.75,1,,1676957074000
92115,cb581061,2023/02/21 13:24:05,1,fedc20debletest0,,-65.375,2,,1676957074000
92117,cb581061,2023/02/21 13:24:06,1,fedc20debletest0,,-73.0,2,,1676957074000
92119,cb581061,2023/02/21 13:24:07,1,fedc20debletest0,,-61.0,1,,1676957074000
92121,cb581061,2023/02/21 13:24:08,1,fedc20debletest0,,-60.0,1,,1676957074000
92678,cb581061,2023/02/21 13:24:39,1,fedc20debletest0,,-61.375,1,,1676957168000
92681,cb581061,2023/02/21 13:24:40,1,fedc20debletest0,,-60.4,1,,1676957168000
92683,cb581061,2023/02/21 13:24:41,1,fedc20debletest0,,-64.4,1,,1676957168000
92688,cb581061,2023/02/21 13:24:42,1,fedc20debletest0,,-63.833333333333336,1,,1676957168000
92690,cb581061,2023/02/21 13:24:43,1,fedc20debletest0,,-53.833333333333336,1,,1676957168000
92694,cb581061,2023/02/21 13:24:44,1,fedc20debletest0,,-62.625,1,,1676957168000
92698,cb581061,2023/02/21 13:24:45,1,fedc20debletest0,,-55.42857142857143,1,,1676957168000
92700,cb581061,2023/02/21 13:24:46,1,fedc20debletest0,,-66.5,2,,1676957168000
92704,cb581061,2023/02/21 13:24:47,1,fedc20debletest0,,-61.5,1,,1676957168000
92706,cb581061,2023/02/21 13:24:48,1,fedc20debletest0,,-61.0,1,,1676957168000
92708,cb581061,2023/02/21 13:24:49,1,fedc20debletest0,,-68.5,2,,1676957168000
92710,cb581061,2023/02/21 13:24:50,1,fedc20debletest0,,-61.833333333333336,1,,1676957168000
92714,cb581061,2023/02/21 13:24:51,1,fedc20debletest0,,-62.0,1,,1676957168000
92716,cb581061,2023/02/21 13:24:52,1,fedc20debletest0,,-64.0,1,,1676957168000
92718,cb581061,2023/02/21 13:24:53,1,fedc20debletest0,,-60.71428571428572,1,,1676957168000
92720,cb581061,2023/02/21 13:24:54,1,fedc20debletest0,,-61.1,1,,1676957168000
92722,cb581061,2023/02/21 13:24:55,1,fedc20debletest0,,-67.0,2,,1676957168000
92677,cb581061,2023/02/21 13:25:22,1,fedc20debletest0,,-66.5,2,,1676957168000
92680,cb581061,2023/02/21 13:25:23,1,fedc20debletest0,,-61.0,1,,1676957168000
92684,cb581061,2023/02/21 13:25:24,1,fedc20debletest0,,-72.33333333333333,2,,1676957168000
92687,cb581061,2023/02/21 13:25:25,1,fedc20debletest0,,-62.0,1,,1676957168000
92689,cb581061,2023/02/21 13:25:26,1,fedc20debletest0,,-63.0,1,,1676957168000
92691,cb581061,2023/02/21 13:25:27,1,fedc20debletest0,,-62.85714285714285,1,,1676957168000
92693,cb581061,2023/02/21 13:25:28,1,fedc20debletest0,,-58.6,1,,1676957168000
92695,cb581061,2023/02/21 13:25:29,1,fedc20debletest0,,-57.333333333333336,1,,1676957168000
92699,cb581061,2023/02/21 13:25:30,1,fedc20debletest0,,-58.375,1,,1676957168000
92701,cb581061,2023/02/21 13:25:31,1,fedc20debletest0,,-66.33333333333333,2,,1676957168000
92703,cb581061,2023/02/21 13:25:32,1,fedc20debletest0,,-57.66666666666666,1,,1676957168000
92707,cb581061,2023/02/21 13:25:33,1,fedc20debletest0,,-61.0,1,,1676957168000
92711,cb581061,2023/02/21 13:25:34,1,fedc20debletest0,,-58.833333333333336,1,,1676957168000
92713,cb581061,2023/02/21 13:25:35,1,fedc20debletest0,,-62.75,1,,1676957168000
92719,cb581061,2023/02/21 13:25:36,1,fedc20debletest0,,-62.75,1,,1676957168000
92723,cb581061,2023/02/21 13:25:37,1,fedc20debletest0,,-58.0,1,,1676957168000
93135,cb581061,2023/02/21 13:26:12,1,fedc20debletest0,,-75.42857142857143,2,,1676957256000
93136,cb581061,2023/02/21 13:26:13,1,fedc20debletest0,,-73.71428571428571,2,,1676957256000
93137,cb581061,2023/02/21 13:26:14,1,fedc20debletest0,,-87.28571428571429,5,,1676957256000
93138,cb581061,2023/02/21 13:26:15,1,fedc20debletest0,,-84.57142857142857,3,,1676957256000
93139,cb581061,2023/02/21 13:26:16,1,fedc20debletest0,,-84.25,3,,1676957256000
93142,cb581061,2023/02/21 13:26:17,1,fedc20debletest0,,-78.33333333333333,3,,1676957256000
93143,cb581061,2023/02/21 13:26:18,1,fedc20debletest0,,-78.2,3,,1676957256000
93144,cb581061,2023/02/21 13:26:19,1,fedc20debletest0,,-64.0,1,,1676957256000
93146,cb581061,2023/02/21 13:26:20,1,fedc20debletest0,,-66.14285714285714,2,,1676957256000
93147,cb581061,2023/02/21 13:26:21,1,fedc20debletest0,,-70.0,2,,1676957256000
93149,cb581061,2023/02/21 13:26:22,1,fedc20debletest0,,-64.66666666666667,1,,1676957256000
93151,cb581061,2023/02/21 13:26:23,1,fedc20debletest0,,-68.58333333333333,2,,1676957256000
93152,cb581061,2023/02/21 13:26:49,1,fedc20debletest0,,-58.0,1,,1676957256000
93154,cb581061,2023/02/21 13:26:50,1,fedc20debletest0,,-68.0,2,,1676957256000
93156,cb581061,2023/02/21 13:26:51,1,fedc20debletest0,,-63.4,1,,1676957256000
93157,cb581061,2023/02/21 13:26:52,1,fedc20debletest0,,-67.0,2,,1676957256000
93158,cb581061,2023/02/21 13:26:53,1,fedc20debletest0,,-58.333333333333336,1,,1676957256000
93159,cb581061,2023/02/21 13:26:54,1,fedc20debletest0,,-62.77777777777778,1,,1676957256000
93160,cb581061,2023/02/21 13:26:55,1,fedc20debletest0,,-61.333333333333336,1,,1676957256000
93161,cb581061,2023/02/21 13:26:56,1,fedc20debletest0,,-63.11111111111112,1,,1676957256000
93162,cb581061,2023/02/21 13:26:57,1,fedc20debletest0,,-60.2,1,,1676957256000
93163,cb581061,2023/02/21 13:26:58,1,fedc20debletest0,,-60.2,1,,1676957256000
93164,cb581061,2023/02/21 13:26:59,1,fedc20debletest0,,-61.25,1,,1676957256000
93165,cb581061,2023/02/21 13:27:00,1,fedc20debletest0,,-59.142857142857146,1,,1676957256000
93166,cb581061,2023/02/21 13:27:01,1,fedc20debletest0,,-70.33333333333333,2,,1676957256000
93167,cb581061,2023/02/21 13:27:02,1,fedc20debletest0,,-70.6,2,,1676957256000
93698,cb581061,2023/02/21 13:27:40,1,fedc20debletest0,,-74.33333333333333,2,,1676957345000
93699,cb581061,2023/02/21 13:27:41,1,fedc20debletest0,,-76.4,3,,1676957345000
93701,cb581061,2023/02/21 13:27:42,1,fedc20debletest0,,-80.28571428571429,3,,1676957345000
93706,cb581061,2023/02/21 13:27:43,1,fedc20debletest0,,-72.0,2,,1676957345000
93709,cb581061,2023/02/21 13:27:44,1,fedc20debletest0,,-76.42857142857143,3,,1676957345000
93715,cb581061,2023/02/21 13:27:45,1,fedc20debletest0,,-81.33333333333333,3,,1676957345000
