id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
91898,f69de6fc,2023/02/21 13:24:14,1,fedc20debletest0,,-75.83333333333333,2,,1676957059000
91982,f69de6fc,2023/02/21 13:24:23,1,fedc20debletest0,,-82.26666666666667,3,,1676957072000
91985,f69de6fc,2023/02/21 13:24:24,1,fedc20debletest0,,-92.33333333333331,5,,1676957072000
91988,f69de6fc,2023/02/21 13:24:27,1,fedc20debletest0,,-74.45714285714286,2,,1676957072000
91995,f69de6fc,2023/02/21 13:24:28,1,fedc20debletest0,,-76.0,3,,1676957072000
92177,f69de6fc,2023/02/21 13:24:49,1,fedc20debletest0,,-77.42857142857143,3,,1676957098000
92183,f69de6fc,2023/02/21 13:24:50,1,fedc20debletest0,,-78.92857142857143,3,,1676957098000
92178,f69de6fc,2023/02/21 13:24:53,1,fedc20debletest0,,-74.63636363636364,2,,1676957098000
92187,f69de6fc,2023/02/21 13:24:54,1,fedc20debletest0,,-74.05,2,,1676957098000
92273,f69de6fc,2023/02/21 13:25:02,1,fedc20debletest0,,-70.33333333333333,2,,1676957111000
92275,f69de6fc,2023/02/21 13:25:03,1,fedc20debletest0,,-71.84615384615384,2,,1676957111000
92305,f69de6fc,2023/02/21 13:25:19,1,fedc20debletest0,,-71.63636363636364,2,,1676957124000
92311,f69de6fc,2023/02/21 13:25:20,1,fedc20debletest0,,-74.6,2,,1676957124000
92389,f69de6fc,2023/02/21 13:25:28,1,fedc20debletest0,,-73.0,2,,1676957137000
92390,f69de6fc,2023/02/21 13:25:29,1,fedc20debletest0,,-79.38095238095238,3,,1676957137000
92393,f69de6fc,2023/02/21 13:25:32,1,fedc20debletest0,,-80.0,3,,1676957138000
92394,f69de6fc,2023/02/21 13:25:33,1,fedc20debletest0,,-78.51162790697674,3,,1676957138000
92632,f69de6fc,2023/02/21 13:25:55,1,fedc20debletest0,,-78.11764705882354,3,,1676957164000
92638,f69de6fc,2023/02/21 13:25:56,1,fedc20debletest0,,-73.4,2,,1676957164000
92635,f69de6fc,2023/02/21 13:25:59,1,fedc20debletest0,,-82.38095238095238,3,,1676957164000
92641,f69de6fc,2023/02/21 13:26:00,1,fedc20debletest0,,-87.11111111111111,5,,1676957164000
