id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
78520,defe41cc,2023/02/21 12:20:01,1,fedc20debletest0,,-86.0,5,,1676953210000
78542,defe41cc,2023/02/21 12:20:27,1,fedc20debletest0,,-81.0,3,,1676953236000
78548,defe41cc,2023/02/21 12:20:28,1,fedc20debletest0,,-71.75,2,,1676953236000
78541,defe41cc,2023/02/21 12:20:31,1,fedc20debletest0,,-70.0,2,,1676953236000
78588,defe41cc,2023/02/21 12:20:40,1,fedc20debletest0,,-90.5,5,,1676953249000
78591,defe41cc,2023/02/21 12:20:41,1,fedc20debletest0,,-87.0,5,,1676953249000
78671,defe41cc,2023/02/21 12:20:58,1,fedc20debletest0,,-75.0,2,,1676953262000
78758,defe41cc,2023/02/21 12:21:07,1,fedc20debletest0,,-73.0,2,,1676953275000
78756,defe41cc,2023/02/21 12:21:11,1,fedc20debletest0,,-84.0,3,,1676953275000
78942,defe41cc,2023/02/21 12:21:33,1,fedc20debletest0,,-78.0,3,,1676953302000
78948,defe41cc,2023/02/21 12:21:37,1,fedc20debletest0,,-81.5,3,,1676953302000
78978,defe41cc,2023/02/21 12:21:46,1,fedc20debletest0,,-78.0,3,,1676953315000
78979,defe41cc,2023/02/21 12:22:03,1,fedc20debletest0,,-71.5,2,,1676953328000
78985,defe41cc,2023/02/21 12:22:04,1,fedc20debletest0,,-70.4,2,,1676953328000
79004,defe41cc,2023/02/21 12:22:12,1,fedc20debletest0,,-71.2,2,,1676953341000
79009,defe41cc,2023/02/21 12:22:13,1,fedc20debletest0,,-73.16666666666667,2,,1676953341000
79002,defe41cc,2023/02/21 12:22:16,1,fedc20debletest0,,-74.5,2,,1676953341000
79005,defe41cc,2023/02/21 12:22:17,1,fedc20debletest0,,-73.18181818181819,2,,1676953341000
79116,defe41cc,2023/02/21 12:22:39,1,fedc20debletest0,,-76.71428571428571,3,,1676953367000
79227,defe41cc,2023/02/21 12:22:52,1,fedc20debletest0,,-72.9090909090909,2,,1676953381000
79232,defe41cc,2023/02/21 12:23:09,1,fedc20debletest0,,-78.75,3,,1676953394000
79389,defe41cc,2023/02/21 12:23:18,1,fedc20debletest0,,-84.2,3,,1676953407000
79388,defe41cc,2023/02/21 12:23:22,1,fedc20debletest0,,-79.0,3,,1676953407000
79527,defe41cc,2023/02/21 12:23:45,1,fedc20debletest0,,-78.0,3,,1676953433000
79528,defe41cc,2023/02/21 12:23:49,1,fedc20debletest0,,-76.0,3,,1676953433000
79625,defe41cc,2023/02/21 12:24:15,1,fedc20debletest0,,-80.3076923076923,3,,1676953459000
79645,defe41cc,2023/02/21 12:24:24,1,fedc20debletest0,,-88.44444444444444,5,,1676953473000
79640,defe41cc,2023/02/21 12:24:28,1,fedc20debletest0,,-90.54545454545456,5,,1676953473000
79782,defe41cc,2023/02/21 12:24:50,1,fedc20debletest0,,-86.25,5,,1676953499000
79793,defe41cc,2023/02/21 12:24:51,1,fedc20debletest0,,-87.0,5,,1676953499000
79811,defe41cc,2023/02/21 12:25:03,1,fedc20debletest0,,-84.0,3,,1676953512000
79899,defe41cc,2023/02/21 12:25:21,1,fedc20debletest0,,-96.0,5,,1676953525000
79972,defe41cc,2023/02/21 12:25:30,1,fedc20debletest0,,-82.0,3,,1676953538000
79973,defe41cc,2023/02/21 12:25:34,1,fedc20debletest0,,-98.42857142857144,5,,1676953538000
79996,defe41cc,2023/02/21 12:25:56,1,fedc20debletest0,,-92.16666666666669,5,,1676953565000
79998,defe41cc,2023/02/21 12:26:00,1,fedc20debletest0,,-95.0,5,,1676953565000
80068,defe41cc,2023/02/21 12:26:26,1,fedc20debletest0,,-83.16666666666667,3,,1676953591000
80088,defe41cc,2023/02/21 12:26:35,1,fedc20debletest0,,-91.0,5,,1676953604000
80087,defe41cc,2023/02/21 12:26:39,1,fedc20debletest0,,-89.11111111111111,5,,1676953604000
80310,defe41cc,2023/02/21 12:27:15,1,fedc20debletest0,,-93.25,5,,1676953643000
80313,defe41cc,2023/02/21 12:27:32,1,fedc20debletest0,,-92.0,5,,1676953657000
80328,defe41cc,2023/02/21 12:27:41,1,fedc20debletest0,,-91.0,5,,1676953670000
80430,defe41cc,2023/02/21 12:28:08,1,fedc20debletest0,,-96.0,5,,1676953696000
80419,defe41cc,2023/02/21 12:28:11,1,fedc20debletest0,,-91.57142857142856,5,,1676953696000
80599,defe41cc,2023/02/21 12:28:20,1,fedc20debletest0,,-97.0,5,,1676953709000
80673,defe41cc,2023/02/21 12:28:38,1,fedc20debletest0,,-80.0,3,,1676953722000
80696,defe41cc,2023/02/21 12:28:47,1,fedc20debletest0,,-81.45454545454545,3,,1676953735000
80694,defe41cc,2023/02/21 12:28:51,1,fedc20debletest0,,-87.2,5,,1676953735000
80723,defe41cc,2023/02/21 12:29:13,1,fedc20debletest0,,-87.33333333333333,5,,1676953762000
80721,defe41cc,2023/02/21 12:29:17,1,fedc20debletest0,,-83.0,3,,1676953762000
80752,defe41cc,2023/02/21 12:29:26,1,fedc20debletest0,,-85.88888888888889,5,,1676953775000
80860,defe41cc,2023/02/21 12:29:43,1,fedc20debletest0,,-86.57142857142857,5,,1676953788000
80869,defe41cc,2023/02/21 12:29:44,1,fedc20debletest0,,-86.0,5,,1676953788000
80981,defe41cc,2023/02/21 12:29:52,1,fedc20debletest0,,-79.16666666666667,3,,1676953801000
80985,defe41cc,2023/02/21 12:29:53,1,fedc20debletest0,,-79.4,3,,1676953801000
80977,defe41cc,2023/02/21 12:29:56,1,fedc20debletest0,,-95.0,5,,1676953801000
80980,defe41cc,2023/02/21 12:29:57,1,fedc20debletest0,,-84.0,3,,1676953801000
