id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
80658,fedc20de,2023/02/21 12:28:09,1,cb581061bletest0,,-66.8,2,,1676953716000
80660,fedc20de,2023/02/21 12:28:10,1,cb581061bletest0,,-71.2,2,,1676953716000
80663,fedc20de,2023/02/21 12:28:11,1,cb581061bletest0,,-75.0,2,,1676953716000
80754,fedc20de,2023/02/21 12:28:53,1,cb581061bletest0,,-77.41666666666667,3,,1676953781000
80757,fedc20de,2023/02/21 12:28:54,1,cb581061bletest0,,-72.42857142857143,2,,1676953781000
80759,fedc20de,2023/02/21 12:28:55,1,cb581061bletest0,,-71.13333333333334,2,,1676953781000
80761,fedc20de,2023/02/21 12:28:56,1,cb581061bletest0,,-73.05263157894737,2,,1676953781000
80763,fedc20de,2023/02/21 12:28:57,1,cb581061bletest0,,-68.56521739130434,2,,1676953781000
80765,fedc20de,2023/02/21 12:28:58,1,cb581061bletest0,,-70.82142857142857,2,,1676953781000
80768,fedc20de,2023/02/21 12:28:59,1,cb581061bletest0,,-76.25714285714285,3,,1676953781000
80771,fedc20de,2023/02/21 12:29:00,1,cb581061bletest0,,-75.33333333333333,2,,1676953781000
80774,fedc20de,2023/02/21 12:29:01,1,cb581061bletest0,,-72.65625,2,,1676953781000
80777,fedc20de,2023/02/21 12:29:02,1,cb581061bletest0,,-75.65625,2,,1676953781000
80780,fedc20de,2023/02/21 12:29:03,1,cb581061bletest0,,-79.0,3,,1676953781000
80783,fedc20de,2023/02/21 12:29:04,1,cb581061bletest0,,-77.36363636363636,3,,1676953781000
80786,fedc20de,2023/02/21 12:29:05,1,cb581061bletest0,,-75.32142857142857,2,,1676953781000
80789,fedc20de,2023/02/21 12:29:06,1,cb581061bletest0,,-71.3157894736842,2,,1676953781000
80792,fedc20de,2023/02/21 12:29:07,1,cb581061bletest0,,-70.18181818181819,2,,1676953781000
80794,fedc20de,2023/02/21 12:29:08,1,cb581061bletest0,,-78.91666666666667,3,,1676953781000
80797,fedc20de,2023/02/21 12:29:09,1,cb581061bletest0,,-73.18181818181819,2,,1676953781000
80799,fedc20de,2023/02/21 12:29:10,1,cb581061bletest0,,-79.0,3,,1676953781000
80801,fedc20de,2023/02/21 12:29:11,1,cb581061bletest0,,-71.0,2,,1676953781000
