id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77913,75909e89,2023/02/21 12:16:40,1,0926bde8bletest0,null,-69,2,,1676953090000
77948,75909e89,2023/02/21 12:17:31,1,0926bde8bletest0,null,-64,1,,1676953090000
78783,75909e89,2023/02/21 12:20:47,1,0926bde8bletest0,null,-72,2,,1676953297000
78787,75909e89,2023/02/21 12:20:48,1,0926bde8bletest0,null,-70,2,,1676953297000
78791,75909e89,2023/02/21 12:20:49,1,0926bde8bletest0,null,-60,1,,1676953297000
78799,75909e89,2023/02/21 12:20:50,1,0926bde8bletest0,null,-67,2,,1676953297000
78801,75909e89,2023/02/21 12:20:51,1,0926bde8bletest0,null,-70,2,,1676953297000
78814,75909e89,2023/02/21 12:20:52,1,0926bde8bletest0,null,-68,2,,1676953297000
78822,75909e89,2023/02/21 12:20:53,1,0926bde8bletest0,null,-61,1,,1676953297000
78823,75909e89,2023/02/21 12:19:59,1,0926bde8bletest0,null,-62,1,,1676953297000
78829,75909e89,2023/02/21 12:20:00,1,0926bde8bletest0,null,-58,1,,1676953297000
78837,75909e89,2023/02/21 12:20:01,1,0926bde8bletest0,null,-63,1,,1676953297000
78843,75909e89,2023/02/21 12:20:02,1,0926bde8bletest0,null,-56.666666666666664,1,,1676953297000
78855,75909e89,2023/02/21 12:20:03,1,0926bde8bletest0,null,-60,1,,1676953297000
78861,75909e89,2023/02/21 12:20:04,1,0926bde8bletest0,null,-59,1,,1676953297000
78873,75909e89,2023/02/21 12:20:06,1,0926bde8bletest0,null,-62,1,,1676953297000
78877,75909e89,2023/02/21 12:20:07,1,0926bde8bletest0,null,-68,2,,1676953297000
78884,75909e89,2023/02/21 12:20:09,1,0926bde8bletest0,null,-67.33333333333333,2,,1676953297000
78888,75909e89,2023/02/21 12:20:10,1,0926bde8bletest0,null,-63.5,1,,1676953297000
78890,75909e89,2023/02/21 12:20:11,1,0926bde8bletest0,null,-65,1,,1676953297000
78894,75909e89,2023/02/21 12:20:12,1,0926bde8bletest0,null,-66.5,2,,1676953297000
