id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
80107,0926bde8,2023/02/21 12:25:23,1,75909e89bletest0,null,-74.5,2,,1676953610000
80113,0926bde8,2023/02/21 12:26:06,1,75909e89bletest0,null,-70,2,,1676953610000
80126,0926bde8,2023/02/21 12:25:24,1,75909e89bletest0,null,-74,2,,1676953610000
80127,0926bde8,2023/02/21 12:26:07,1,75909e89bletest0,null,-79,3,,1676953610000
80135,0926bde8,2023/02/21 12:25:25,1,75909e89bletest0,null,-77,3,,1676953610000
80144,0926bde8,2023/02/21 12:26:08,1,75909e89bletest0,null,-72.5,2,,1676953610000
80149,0926bde8,2023/02/21 12:25:26,1,75909e89bletest0,null,-75,2,,1676953610000
80155,0926bde8,2023/02/21 12:25:27,1,75909e89bletest0,null,-68,2,,1676953610000
80156,0926bde8,2023/02/21 12:26:10,1,75909e89bletest0,null,-70,2,,1676953610000
80169,0926bde8,2023/02/21 12:26:11,1,75909e89bletest0,null,-63.5,1,,1676953610000
80174,0926bde8,2023/02/21 12:25:30,1,75909e89bletest0,null,-63.5,1,,1676953610000
80175,0926bde8,2023/02/21 12:26:12,1,75909e89bletest0,null,-74,2,,1676953610000
80182,0926bde8,2023/02/21 12:25:31,1,75909e89bletest0,null,-70,2,,1676953610000
80185,0926bde8,2023/02/21 12:26:13,1,75909e89bletest0,null,-66,2,,1676953610000
80190,0926bde8,2023/02/21 12:25:32,1,75909e89bletest0,null,-70,2,,1676953610000
80193,0926bde8,2023/02/21 12:26:14,1,75909e89bletest0,null,-74,2,,1676953610000
80200,0926bde8,2023/02/21 12:25:33,1,75909e89bletest0,null,-70,2,,1676953610000
80201,0926bde8,2023/02/21 12:26:15,1,75909e89bletest0,null,-77,3,,1676953610000
80203,0926bde8,2023/02/21 12:26:16,1,75909e89bletest0,null,-77.66666666666667,3,,1676953610000
80210,0926bde8,2023/02/21 12:25:35,1,75909e89bletest0,null,-72,2,,1676953610000
80211,0926bde8,2023/02/21 12:26:17,1,75909e89bletest0,null,-80,3,,1676953610000
80478,0926bde8,2023/02/21 12:26:54,1,75909e89bletest0,null,-66.5,2,,1676953704000
80482,0926bde8,2023/02/21 12:26:55,1,75909e89bletest0,null,-78,3,,1676953704000
80491,0926bde8,2023/02/21 12:26:56,1,75909e89bletest0,null,-64.5,1,,1676953704000
80492,0926bde8,2023/02/21 12:26:57,1,75909e89bletest0,null,-76.5,3,,1676953704000
80497,0926bde8,2023/02/21 12:27:36,1,75909e89bletest0,null,-71.5,2,,1676953704000
80501,0926bde8,2023/02/21 12:27:37,1,75909e89bletest0,null,-82.5,3,,1676953704000
