id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
82545,164732b9,2023/02/21 12:35:02,1,0926bde8bletest0,null,-58,1,,1676954193000
83020,164732b9,2023/02/21 12:36:37,1,0926bde8bletest0,null,-76,3,,1676954287000
83034,164732b9,2023/02/21 12:37:17,1,0926bde8bletest0,null,-72,2,,1676954287000
83040,164732b9,2023/02/21 12:36:38,1,0926bde8bletest0,null,-72.75,2,,1676954287000
83050,164732b9,2023/02/21 12:37:18,1,0926bde8bletest0,null,-73,2,,1676954287000
83057,164732b9,2023/02/21 12:37:21,1,0926bde8bletest0,null,-79,3,,1676954287000
83065,164732b9,2023/02/21 12:37:22,1,0926bde8bletest0,null,-78.5,3,,1676954287000
83074,164732b9,2023/02/21 12:37:25,1,0926bde8bletest0,null,-68,2,,1676954287000
83078,164732b9,2023/02/21 12:37:26,1,0926bde8bletest0,null,-68.5,2,,1676954287000
83082,164732b9,2023/02/21 12:37:29,1,0926bde8bletest0,null,-71,2,,1676954287000
83388,164732b9,2023/02/21 12:38:59,1,0926bde8bletest0,null,-58.333333333333336,1,,1676954378000
83396,164732b9,2023/02/21 12:38:12,1,0926bde8bletest0,null,-63.75,1,,1676954378000
83406,164732b9,2023/02/21 12:38:13,1,0926bde8bletest0,null,-63,1,,1676954378000
83411,164732b9,2023/02/21 12:39:03,1,0926bde8bletest0,null,-58.25,1,,1676954378000
83420,164732b9,2023/02/21 12:39:04,1,0926bde8bletest0,null,-56,1,,1676954378000
83421,164732b9,2023/02/21 12:38:16,1,0926bde8bletest0,null,-63.166666666666664,1,,1676954378000
83440,164732b9,2023/02/21 12:38:17,1,0926bde8bletest0,null,-62,1,,1676954378000
83444,164732b9,2023/02/21 12:38:20,1,0926bde8bletest0,null,-60,1,,1676954378000
83449,164732b9,2023/02/21 12:38:21,1,0926bde8bletest0,null,-61,1,,1676954378000
83752,164732b9,2023/02/21 12:40:24,1,0926bde8bletest0,null,-73.16666666666667,2,,1676954456000
83765,164732b9,2023/02/21 12:39:42,1,0926bde8bletest0,null,-60.4,1,,1676954456000
83775,164732b9,2023/02/21 12:40:28,1,0926bde8bletest0,null,-68.5,2,,1676954456000
83777,164732b9,2023/02/21 12:39:43,1,0926bde8bletest0,null,-61,1,,1676954456000
83784,164732b9,2023/02/21 12:40:29,1,0926bde8bletest0,null,-83,3,,1676954456000
83941,164732b9,2023/02/21 12:41:50,1,0926bde8bletest0,null,-82.5,3,,1676954553000
83948,164732b9,2023/02/21 12:41:51,1,0926bde8bletest0,null,-78,3,,1676954553000
83960,164732b9,2023/02/21 12:41:55,1,0926bde8bletest0,null,-76.71428571428571,3,,1676954553000
83969,164732b9,2023/02/21 12:41:59,1,0926bde8bletest0,null,-76.16666666666667,3,,1676954553000
83973,164732b9,2023/02/21 12:41:04,1,0926bde8bletest0,null,-71.5,2,,1676954553000
83978,164732b9,2023/02/21 12:41:05,1,0926bde8bletest0,null,-69,2,,1676954553000
83982,164732b9,2023/02/21 12:41:09,1,0926bde8bletest0,null,-74,2,,1676954553000
83988,164732b9,2023/02/21 12:41:12,1,0926bde8bletest0,null,-76,3,,1676954553000
83989,164732b9,2023/02/21 12:41:13,1,0926bde8bletest0,null,-79.5,3,,1676954553000
84092,164732b9,2023/02/21 12:42:37,1,0926bde8bletest0,null,-78.33333333333333,3,,1676954639000
84100,164732b9,2023/02/21 12:43:30,1,0926bde8bletest0,null,-55.2,1,,1676954639000
84101,164732b9,2023/02/21 12:42:38,1,0926bde8bletest0,null,-75.5,2,,1676954639000
84103,164732b9,2023/02/21 12:42:42,1,0926bde8bletest0,null,-71.125,2,,1676954639000
84110,164732b9,2023/02/21 12:43:31,1,0926bde8bletest0,null,-55,1,,1676954639000
84113,164732b9,2023/02/21 12:42:43,1,0926bde8bletest0,null,-71,2,,1676954639000
84116,164732b9,2023/02/21 12:43:34,1,0926bde8bletest0,null,-60.666666666666664,1,,1676954639000
84121,164732b9,2023/02/21 12:42:45,1,0926bde8bletest0,null,-85,5,,1676954639000
84122,164732b9,2023/02/21 12:43:35,1,0926bde8bletest0,null,-61,1,,1676954639000
84125,164732b9,2023/02/21 12:42:46,1,0926bde8bletest0,null,-82.83333333333333,3,,1676954639000
84128,164732b9,2023/02/21 12:42:50,1,0926bde8bletest0,null,-82.5,3,,1676954639000
