id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
84744,0926bde8,2023/02/21 13:03:06,1,75909e89bletest0,null,-59.2,1,,1676955880000
84749,0926bde8,2023/02/21 13:03:07,1,75909e89bletest0,null,-60.86666666666667,1,,1676955880000
84753,0926bde8,2023/02/21 13:03:08,1,75909e89bletest0,null,-60.5,1,,1676955880000
84758,0926bde8,2023/02/21 13:03:09,1,75909e89bletest0,null,-62.111111111111114,1,,1676955880000
84762,0926bde8,2023/02/21 13:03:10,1,75909e89bletest0,null,-60.875,1,,1676955880000
84763,0926bde8,2023/02/21 13:03:11,1,75909e89bletest0,null,-63.111111111111114,1,,1676955880000
84765,0926bde8,2023/02/21 13:03:12,1,75909e89bletest0,null,-59.375,1,,1676955880000
84767,0926bde8,2023/02/21 13:03:13,1,75909e89bletest0,null,-58.8,1,,1676955880000
84769,0926bde8,2023/02/21 13:03:14,1,75909e89bletest0,null,-62,1,,1676955880000
84771,0926bde8,2023/02/21 13:03:15,1,75909e89bletest0,null,-63.07142857142857,1,,1676955880000
84774,0926bde8,2023/02/21 13:03:16,1,75909e89bletest0,null,-62.285714285714285,1,,1676955880000
84775,0926bde8,2023/02/21 13:03:17,1,75909e89bletest0,null,-61.416666666666664,1,,1676955880000
84778,0926bde8,2023/02/21 13:03:18,1,75909e89bletest0,null,-61.285714285714285,1,,1676955880000
84779,0926bde8,2023/02/21 13:03:19,1,75909e89bletest0,null,-61.833333333333336,1,,1676955880000
84781,0926bde8,2023/02/21 13:03:20,1,75909e89bletest0,null,-62.4,1,,1676955880000
84784,0926bde8,2023/02/21 13:03:21,1,75909e89bletest0,null,-59.714285714285715,1,,1676955880000
85304,0926bde8,2023/02/21 13:05:22,1,75909e89bletest0,null,-59.4,1,,1676955960000
85313,0926bde8,2023/02/21 13:04:44,1,75909e89bletest0,null,-62,1,,1676955960000
85315,0926bde8,2023/02/21 13:05:23,1,75909e89bletest0,null,-56.625,1,,1676955960000
85316,0926bde8,2023/02/21 13:04:45,1,75909e89bletest0,null,-64.27272727272727,1,,1676955960000
85325,0926bde8,2023/02/21 13:05:24,1,75909e89bletest0,null,-62.25,1,,1676955960000
85327,0926bde8,2023/02/21 13:04:46,1,75909e89bletest0,null,-58.4,1,,1676955960000
85332,0926bde8,2023/02/21 13:05:25,1,75909e89bletest0,null,-65,1,,1676955960000
85339,0926bde8,2023/02/21 13:05:26,1,75909e89bletest0,null,-65,1,,1676955960000
85342,0926bde8,2023/02/21 13:04:47,1,75909e89bletest0,null,-58.333333333333336,1,,1676955960000
85346,0926bde8,2023/02/21 13:04:48,1,75909e89bletest0,null,-59,1,,1676955960000
85347,0926bde8,2023/02/21 13:05:27,1,75909e89bletest0,null,-63.2,1,,1676955960000
85353,0926bde8,2023/02/21 13:05:28,1,75909e89bletest0,null,-72.4,2,,1676955960000
85356,0926bde8,2023/02/21 13:04:49,1,75909e89bletest0,null,-60.285714285714285,1,,1676955960000
85357,0926bde8,2023/02/21 13:05:29,1,75909e89bletest0,null,-61.857142857142854,1,,1676955960000
85360,0926bde8,2023/02/21 13:04:50,1,75909e89bletest0,null,-58.888888888888886,1,,1676955960000
85361,0926bde8,2023/02/21 13:05:30,1,75909e89bletest0,null,-64.55555555555556,1,,1676955960000
85366,0926bde8,2023/02/21 13:04:51,1,75909e89bletest0,null,-59.57142857142857,1,,1676955960000
85368,0926bde8,2023/02/21 13:05:31,1,75909e89bletest0,null,-63.714285714285715,1,,1676955960000
85371,0926bde8,2023/02/21 13:04:52,1,75909e89bletest0,null,-60.375,1,,1676955960000
85372,0926bde8,2023/02/21 13:05:32,1,75909e89bletest0,null,-69,2,,1676955960000
85376,0926bde8,2023/02/21 13:05:33,1,75909e89bletest0,null,-62.875,1,,1676955960000
85378,0926bde8,2023/02/21 13:05:34,1,75909e89bletest0,null,-55.875,1,,1676955960000
85379,0926bde8,2023/02/21 13:04:53,1,75909e89bletest0,null,-60.6,1,,1676955960000
85382,0926bde8,2023/02/21 13:05:35,1,75909e89bletest0,null,-56.125,1,,1676955960000
85383,0926bde8,2023/02/21 13:04:54,1,75909e89bletest0,null,-57.833333333333336,1,,1676955960000
85386,0926bde8,2023/02/21 13:05:36,1,75909e89bletest0,null,-55.5,1,,1676955960000
85387,0926bde8,2023/02/21 13:04:55,1,75909e89bletest0,null,-62.3,1,,1676955960000
85389,0926bde8,2023/02/21 13:04:56,1,75909e89bletest0,null,-72.25,2,,1676955960000
85952,0926bde8,2023/02/21 13:06:04,1,75909e89bletest0,null,-59.5,1,,1676956058000
85953,0926bde8,2023/02/21 13:06:50,1,75909e89bletest0,null,-63.75,1,,1676956058000
85956,0926bde8,2023/02/21 13:06:05,1,75909e89bletest0,null,-63.1875,1,,1676956058000
85957,0926bde8,2023/02/21 13:06:51,1,75909e89bletest0,null,-65,1,,1676956058000
85960,0926bde8,2023/02/21 13:06:06,1,75909e89bletest0,null,-61.07142857142857,1,,1676956058000
85965,0926bde8,2023/02/21 13:06:52,1,75909e89bletest0,null,-60,1,,1676956058000
85968,0926bde8,2023/02/21 13:06:07,1,75909e89bletest0,null,-63.30434782608695,1,,1676956058000
85969,0926bde8,2023/02/21 13:06:53,1,75909e89bletest0,null,-64,1,,1676956058000
85972,0926bde8,2023/02/21 13:06:54,1,75909e89bletest0,null,-62.2,1,,1676956058000
85976,0926bde8,2023/02/21 13:06:55,1,75909e89bletest0,null,-60.1,1,,1676956058000
85978,0926bde8,2023/02/21 13:06:08,1,75909e89bletest0,null,-65.8125,2,,1676956058000
85980,0926bde8,2023/02/21 13:06:09,1,75909e89bletest0,null,-63.2,1,,1676956058000
85982,0926bde8,2023/02/21 13:06:10,1,75909e89bletest0,null,-58,1,,1676956058000
85983,0926bde8,2023/02/21 13:06:56,1,75909e89bletest0,null,-65.5,2,,1676956058000
85984,0926bde8,2023/02/21 13:06:11,1,75909e89bletest0,null,-65,1,,1676956058000
85985,0926bde8,2023/02/21 13:06:57,1,75909e89bletest0,null,-64.45454545454545,1,,1676956058000
85986,0926bde8,2023/02/21 13:06:12,1,75909e89bletest0,null,-62,1,,1676956058000
85988,0926bde8,2023/02/21 13:06:13,1,75909e89bletest0,null,-58.5,1,,1676956058000
