id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
84675,75909e89,2023/02/21 13:03:43,1,0926bde8bletest0,null,-64,1,,1676955865000
84681,75909e89,2023/02/21 13:03:45,1,0926bde8bletest0,null,-67,2,,1676955865000
84685,75909e89,2023/02/21 13:03:46,1,0926bde8bletest0,null,-70.66666666666667,2,,1676955865000
84689,75909e89,2023/02/21 13:03:47,1,0926bde8bletest0,null,-67,2,,1676955865000
84691,75909e89,2023/02/21 13:03:48,1,0926bde8bletest0,null,-68.5,2,,1676955865000
84694,75909e89,2023/02/21 13:03:49,1,0926bde8bletest0,null,-65,1,,1676955865000
84696,75909e89,2023/02/21 13:03:50,1,0926bde8bletest0,null,-65,1,,1676955865000
84697,75909e89,2023/02/21 13:03:51,1,0926bde8bletest0,null,-70.5,2,,1676955865000
84700,75909e89,2023/02/21 13:03:52,1,0926bde8bletest0,null,-66.75,2,,1676955865000
84702,75909e89,2023/02/21 13:03:53,1,0926bde8bletest0,null,-68.66666666666667,2,,1676955865000
84704,75909e89,2023/02/21 13:03:54,1,0926bde8bletest0,null,-66,2,,1676955865000
84706,75909e89,2023/02/21 13:03:55,1,0926bde8bletest0,null,-63.666666666666664,1,,1676955865000
85154,75909e89,2023/02/21 13:04:30,1,0926bde8bletest0,null,-59,1,,1676955959000
85155,75909e89,2023/02/21 13:05:14,1,0926bde8bletest0,null,-66.5,2,,1676955959000
85160,75909e89,2023/02/21 13:04:31,1,0926bde8bletest0,null,-67,2,,1676955959000
85167,75909e89,2023/02/21 13:05:15,1,0926bde8bletest0,null,-59.666666666666664,1,,1676955959000
85168,75909e89,2023/02/21 13:04:32,1,0926bde8bletest0,null,-63,1,,1676955959000
85172,75909e89,2023/02/21 13:04:33,1,0926bde8bletest0,null,-60,1,,1676955959000
85180,75909e89,2023/02/21 13:05:16,1,0926bde8bletest0,null,-63,1,,1676955959000
85183,75909e89,2023/02/21 13:04:34,1,0926bde8bletest0,null,-60,1,,1676955959000
85189,75909e89,2023/02/21 13:05:17,1,0926bde8bletest0,null,-61,1,,1676955959000
85190,75909e89,2023/02/21 13:04:35,1,0926bde8bletest0,null,-61,1,,1676955959000
85193,75909e89,2023/02/21 13:05:18,1,0926bde8bletest0,null,-65.33333333333333,2,,1676955959000
85197,75909e89,2023/02/21 13:05:19,1,0926bde8bletest0,null,-60.333333333333336,1,,1676955959000
85198,75909e89,2023/02/21 13:04:36,1,0926bde8bletest0,null,-67,2,,1676955959000
85200,75909e89,2023/02/21 13:04:37,1,0926bde8bletest0,null,-66,2,,1676955959000
85201,75909e89,2023/02/21 13:05:20,1,0926bde8bletest0,null,-65.5,2,,1676955959000
85205,75909e89,2023/02/21 13:05:21,1,0926bde8bletest0,null,-59,1,,1676955959000
85208,75909e89,2023/02/21 13:04:38,1,0926bde8bletest0,null,-67,2,,1676955959000
85209,75909e89,2023/02/21 13:05:22,1,0926bde8bletest0,null,-62.666666666666664,1,,1676955959000
85212,75909e89,2023/02/21 13:04:39,1,0926bde8bletest0,null,-60.5,1,,1676955959000
85213,75909e89,2023/02/21 13:05:23,1,0926bde8bletest0,null,-64.5,1,,1676955959000
85226,75909e89,2023/02/21 13:04:41,1,0926bde8bletest0,null,-59,1,,1676955959000
85865,75909e89,2023/02/21 13:06:45,1,0926bde8bletest0,null,-62,1,,1676956052000
85869,75909e89,2023/02/21 13:06:46,1,0926bde8bletest0,null,-62,1,,1676956052000
85872,75909e89,2023/02/21 13:06:47,1,0926bde8bletest0,null,-64,1,,1676956052000
85873,75909e89,2023/02/21 13:06:48,1,0926bde8bletest0,null,-66,2,,1676956052000
85875,75909e89,2023/02/21 13:06:49,1,0926bde8bletest0,null,-72.5,2,,1676956052000
85876,75909e89,2023/02/21 13:06:50,1,0926bde8bletest0,null,-71.5,2,,1676956052000
85879,75909e89,2023/02/21 13:06:51,1,0926bde8bletest0,null,-65,1,,1676956052000
85882,75909e89,2023/02/21 13:06:52,1,0926bde8bletest0,null,-60,1,,1676956052000
86413,75909e89,2023/02/21 13:08:21,1,0926bde8bletest0,null,-66.5,2,,1676956154000
86415,75909e89,2023/02/21 13:07:36,1,0926bde8bletest0,null,-64.66666666666667,1,,1676956154000
86420,75909e89,2023/02/21 13:08:22,1,0926bde8bletest0,null,-72,2,,1676956154000
86423,75909e89,2023/02/21 13:08:23,1,0926bde8bletest0,null,-71,2,,1676956154000
86424,75909e89,2023/02/21 13:07:37,1,0926bde8bletest0,null,-62,1,,1676956154000
86427,75909e89,2023/02/21 13:07:39,1,0926bde8bletest0,null,-63,1,,1676956154000
86430,75909e89,2023/02/21 13:08:24,1,0926bde8bletest0,null,-64.5,1,,1676956154000
86439,75909e89,2023/02/21 13:08:25,1,0926bde8bletest0,null,-71,2,,1676956154000
86443,75909e89,2023/02/21 13:08:26,1,0926bde8bletest0,null,-66.5,2,,1676956154000
86450,75909e89,2023/02/21 13:08:27,1,0926bde8bletest0,null,-80,3,,1676956154000
86455,75909e89,2023/02/21 13:08:28,1,0926bde8bletest0,null,-71.5,2,,1676956154000
86926,75909e89,2023/02/21 13:10:01,1,0926bde8bletest0,null,-65,1,,1676956246000
86942,75909e89,2023/02/21 13:10:02,1,0926bde8bletest0,null,-64.5,1,,1676956246000
86950,75909e89,2023/02/21 13:10:03,1,0926bde8bletest0,null,-59.666666666666664,1,,1676956246000
86960,75909e89,2023/02/21 13:10:05,1,0926bde8bletest0,null,-59,1,,1676956246000
86970,75909e89,2023/02/21 13:10:06,1,0926bde8bletest0,null,-58,1,,1676956246000
87548,75909e89,2023/02/21 13:11:33,1,0926bde8bletest0,null,-48.666666666666664,1,,1676956345000
87560,75909e89,2023/02/21 13:11:34,1,0926bde8bletest0,null,-52.5,1,,1676956345000
87576,75909e89,2023/02/21 13:11:35,1,0926bde8bletest0,null,-54,1,,1676956345000
87580,75909e89,2023/02/21 13:11:36,1,0926bde8bletest0,null,-53.5,1,,1676956345000
87591,75909e89,2023/02/21 13:11:37,1,0926bde8bletest0,null,-49,1,,1676956345000
87597,75909e89,2023/02/21 13:11:38,1,0926bde8bletest0,null,-53,1,,1676956345000
87607,75909e89,2023/02/21 13:11:39,1,0926bde8bletest0,null,-51,1,,1676956345000
