id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
91622,164732b9,2023/02/21 13:23:00,1,75909e89bletest0,null,-62.7,1,,1676957025000
91634,164732b9,2023/02/21 13:23:03,1,75909e89bletest0,null,-69.5,2,,1676957025000
91644,164732b9,2023/02/21 13:23:04,1,75909e89bletest0,null,-67.52631578947368,2,,1676957025000
91646,164732b9,2023/02/21 13:23:07,1,75909e89bletest0,null,-64.28571428571429,1,,1676957025000
91648,164732b9,2023/02/21 13:23:08,1,75909e89bletest0,null,-66.3529411764706,2,,1676957025000
92225,164732b9,2023/02/21 13:24:21,1,75909e89bletest0,null,-61.22222222222222,1,,1676957100000
92227,164732b9,2023/02/21 13:23:49,1,75909e89bletest0,null,-63.4,1,,1676957100000
92235,164732b9,2023/02/21 13:23:50,1,75909e89bletest0,null,-63,1,,1676957100000
92237,164732b9,2023/02/21 13:24:22,1,75909e89bletest0,null,-60.3125,1,,1676957100000
92244,164732b9,2023/02/21 13:24:26,1,75909e89bletest0,null,-63.375,1,,1676957100000
92245,164732b9,2023/02/21 13:23:53,1,75909e89bletest0,null,-62,1,,1676957100000
92247,164732b9,2023/02/21 13:23:54,1,75909e89bletest0,null,-60.46666666666667,1,,1676957100000
92252,164732b9,2023/02/21 13:24:27,1,75909e89bletest0,null,-56,1,,1676957100000
92255,164732b9,2023/02/21 13:23:58,1,75909e89bletest0,null,-59,1,,1676957100000
92260,164732b9,2023/02/21 13:24:29,1,75909e89bletest0,null,-61.166666666666664,1,,1676957100000
92261,164732b9,2023/02/21 13:23:59,1,75909e89bletest0,null,-60,1,,1676957100000
92263,164732b9,2023/02/21 13:24:30,1,75909e89bletest0,null,-54.96153846153846,1,,1676957100000
92754,164732b9,2023/02/21 13:25:04,1,75909e89bletest0,null,-72.3,2,,1676957187000
92756,164732b9,2023/02/21 13:25:05,1,75909e89bletest0,null,-88.4,5,,1676957187000
92758,164732b9,2023/02/21 13:25:44,1,75909e89bletest0,null,-76.75,3,,1676957187000
92759,164732b9,2023/02/21 13:25:09,1,75909e89bletest0,null,-66.73684210526316,2,,1676957187000
92766,164732b9,2023/02/21 13:25:45,1,75909e89bletest0,null,-73.55555555555556,2,,1676957187000
92771,164732b9,2023/02/21 13:25:13,1,75909e89bletest0,null,-69.21428571428571,2,,1676957187000
92773,164732b9,2023/02/21 13:25:49,1,75909e89bletest0,null,-72.47058823529412,2,,1676957187000
92778,164732b9,2023/02/21 13:25:14,1,75909e89bletest0,null,-70,2,,1676957187000
92783,164732b9,2023/02/21 13:25:50,1,75909e89bletest0,null,-83.88888888888889,3,,1676957187000
92786,164732b9,2023/02/21 13:25:17,1,75909e89bletest0,null,-72.88235294117646,2,,1676957187000
92787,164732b9,2023/02/21 13:25:53,1,75909e89bletest0,null,-64.72727272727273,1,,1676957187000
92790,164732b9,2023/02/21 13:25:18,1,75909e89bletest0,null,-75.42857142857143,2,,1676957187000
92795,164732b9,2023/02/21 13:25:54,1,75909e89bletest0,null,-66.5,2,,1676957187000
92797,164732b9,2023/02/21 13:25:57,1,75909e89bletest0,null,-69.33333333333333,2,,1676957187000
92800,164732b9,2023/02/21 13:25:58,1,75909e89bletest0,null,-70,2,,1676957187000
92801,164732b9,2023/02/21 13:26:01,1,75909e89bletest0,null,-65.875,2,,1676957187000
92805,164732b9,2023/02/21 13:26:02,1,75909e89bletest0,null,-70.3076923076923,2,,1676957187000
93329,164732b9,2023/02/21 13:26:31,1,75909e89bletest0,null,-72.5,2,,1676957273000
93333,164732b9,2023/02/21 13:26:32,1,75909e89bletest0,null,-75.5,2,,1676957273000
93336,164732b9,2023/02/21 13:26:36,1,75909e89bletest0,null,-66.7,2,,1676957273000
93338,164732b9,2023/02/21 13:26:37,1,75909e89bletest0,null,-67.08333333333333,2,,1676957273000
93339,164732b9,2023/02/21 13:27:09,1,75909e89bletest0,null,-62,1,,1676957273000
93344,164732b9,2023/02/21 13:26:40,1,75909e89bletest0,null,-69.43478260869566,2,,1676957273000
93347,164732b9,2023/02/21 13:27:10,1,75909e89bletest0,null,-61.7037037037037,1,,1676957273000
93350,164732b9,2023/02/21 13:26:41,1,75909e89bletest0,null,-65.33333333333333,2,,1676957273000
93351,164732b9,2023/02/21 13:27:14,1,75909e89bletest0,null,-68.6,2,,1676957273000
93356,164732b9,2023/02/21 13:27:15,1,75909e89bletest0,null,-57.53846153846154,1,,1676957273000
93358,164732b9,2023/02/21 13:27:18,1,75909e89bletest0,null,-58.08695652173913,1,,1676957273000
93361,164732b9,2023/02/21 13:27:19,1,75909e89bletest0,null,-57,1,,1676957273000
93364,164732b9,2023/02/21 13:27:22,1,75909e89bletest0,null,-57.9,1,,1676957273000
93368,164732b9,2023/02/21 13:27:23,1,75909e89bletest0,null,-58.3125,1,,1676957273000
93370,164732b9,2023/02/21 13:27:26,1,75909e89bletest0,null,-69.33333333333333,2,,1676957273000
93372,164732b9,2023/02/21 13:27:27,1,75909e89bletest0,null,-59.78260869565217,1,,1676957273000
93934,164732b9,2023/02/21 13:27:58,1,75909e89bletest0,null,-54.75,1,,1676957366000
93937,164732b9,2023/02/21 13:28:02,1,75909e89bletest0,null,-55.54545454545455,1,,1676957366000
93944,164732b9,2023/02/21 13:28:42,1,75909e89bletest0,null,-53.69230769230769,1,,1676957366000
93945,164732b9,2023/02/21 13:28:03,1,75909e89bletest0,null,-49.23076923076923,1,,1676957366000
93947,164732b9,2023/02/21 13:28:43,1,75909e89bletest0,null,-54,1,,1676957366000
93948,164732b9,2023/02/21 13:28:06,1,75909e89bletest0,null,-56.1,1,,1676957366000
93952,164732b9,2023/02/21 13:28:46,1,75909e89bletest0,null,-52.5,1,,1676957366000
93954,164732b9,2023/02/21 13:28:07,1,75909e89bletest0,null,-56.857142857142854,1,,1676957366000
93958,164732b9,2023/02/21 13:28:47,1,75909e89bletest0,null,-53,1,,1676957366000
93963,164732b9,2023/02/21 13:28:10,1,75909e89bletest0,null,-53.8125,1,,1676957366000
93967,164732b9,2023/02/21 13:28:11,1,75909e89bletest0,null,-55.375,1,,1676957366000
93968,164732b9,2023/02/21 13:28:50,1,75909e89bletest0,null,-54.23076923076923,1,,1676957366000
93971,164732b9,2023/02/21 13:28:51,1,75909e89bletest0,null,-56.733333333333334,1,,1676957366000
93972,164732b9,2023/02/21 13:28:14,1,75909e89bletest0,null,-53,1,,1676957366000
93976,164732b9,2023/02/21 13:28:54,1,75909e89bletest0,null,-55.5,1,,1676957366000
93977,164732b9,2023/02/21 13:28:15,1,75909e89bletest0,null,-53.69565217391305,1,,1676957366000
93980,164732b9,2023/02/21 13:28:55,1,75909e89bletest0,null,-56.9375,1,,1676957366000
94546,164732b9,2023/02/21 13:29:30,1,75909e89bletest0,null,-60.73684210526316,1,,1676957460000
94551,164732b9,2023/02/21 13:29:31,1,75909e89bletest0,null,-58.75,1,,1676957460000
94555,164732b9,2023/02/21 13:30:09,1,75909e89bletest0,null,-56.642857142857146,1,,1676957460000
94556,164732b9,2023/02/21 13:29:34,1,75909e89bletest0,null,-63.142857142857146,1,,1676957460000
94564,164732b9,2023/02/21 13:30:10,1,75909e89bletest0,null,-58,1,,1676957460000
94565,164732b9,2023/02/21 13:29:35,1,75909e89bletest0,null,-68.33333333333333,2,,1676957460000
94567,164732b9,2023/02/21 13:30:13,1,75909e89bletest0,null,-55.25,1,,1676957460000
94574,164732b9,2023/02/21 13:29:39,1,75909e89bletest0,null,-65.93103448275862,2,,1676957460000
94576,164732b9,2023/02/21 13:30:14,1,75909e89bletest0,null,-55.9,1,,1676957460000
94579,164732b9,2023/02/21 13:30:17,1,75909e89bletest0,null,-65.77777777777777,2,,1676957460000
94587,164732b9,2023/02/21 13:29:40,1,75909e89bletest0,null,-68,2,,1676957460000
94588,164732b9,2023/02/21 13:30:18,1,75909e89bletest0,null,-63,1,,1676957460000
95096,164732b9,2023/02/21 13:31:46,1,75909e89bletest0,null,-62.0625,1,,1676957555000
95097,164732b9,2023/02/21 13:31:04,1,75909e89bletest0,null,-55,1,,1676957555000
95102,164732b9,2023/02/21 13:31:47,1,75909e89bletest0,null,-68.5,2,,1676957555000
95108,164732b9,2023/02/21 13:31:50,1,75909e89bletest0,null,-57,1,,1676957555000
95109,164732b9,2023/02/21 13:31:05,1,75909e89bletest0,null,-57.857142857142854,1,,1676957555000
95114,164732b9,2023/02/21 13:31:51,1,75909e89bletest0,null,-58.645161290322584,1,,1676957555000
95117,164732b9,2023/02/21 13:31:08,1,75909e89bletest0,null,-51,1,,1676957555000
95125,164732b9,2023/02/21 13:31:54,1,75909e89bletest0,null,-56,1,,1676957555000
95126,164732b9,2023/02/21 13:31:09,1,75909e89bletest0,null,-52.916666666666664,1,,1676957555000
95130,164732b9,2023/02/21 13:31:55,1,75909e89bletest0,null,-57.77777777777778,1,,1676957555000
95131,164732b9,2023/02/21 13:31:12,1,75909e89bletest0,null,-55.333333333333336,1,,1676957555000
95136,164732b9,2023/02/21 13:31:13,1,75909e89bletest0,null,-60.22222222222222,1,,1676957555000
95139,164732b9,2023/02/21 13:31:17,1,75909e89bletest0,null,-60.857142857142854,1,,1676957555000
95144,164732b9,2023/02/21 13:31:18,1,75909e89bletest0,null,-60.57142857142857,1,,1676957555000
95712,164732b9,2023/02/21 13:32:39,1,75909e89bletest0,null,-69.55555555555556,2,,1676957653000
95717,164732b9,2023/02/21 13:32:40,1,75909e89bletest0,null,-64.78571428571429,1,,1676957653000
95730,164732b9,2023/02/21 13:32:43,1,75909e89bletest0,null,-60.4,1,,1676957653000
95739,164732b9,2023/02/21 13:32:44,1,75909e89bletest0,null,-60.125,1,,1676957653000
95743,164732b9,2023/02/21 13:32:48,1,75909e89bletest0,null,-57.07142857142857,1,,1676957653000
95744,164732b9,2023/02/21 13:32:49,1,75909e89bletest0,null,-59.375,1,,1676957653000
95745,164732b9,2023/02/21 13:32:52,1,75909e89bletest0,null,-65.4375,2,,1676957653000
95749,164732b9,2023/02/21 13:32:53,1,75909e89bletest0,null,-69.16666666666667,2,,1676957653000
95752,164732b9,2023/02/21 13:32:56,1,75909e89bletest0,null,-60.2,1,,1676957653000
95754,164732b9,2023/02/21 13:32:57,1,75909e89bletest0,null,-58.25,1,,1676957653000
