id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
93202,75909e89,2023/02/21 13:27:02,1,164732b9bletest0,null,-52,1,,1676957264000
93211,75909e89,2023/02/21 13:27:04,1,164732b9bletest0,null,-60,1,,1676957264000
93220,75909e89,2023/02/21 13:27:05,1,164732b9bletest0,null,-65,1,,1676957264000
93231,75909e89,2023/02/21 13:27:07,1,164732b9bletest0,null,-61,1,,1676957264000
93233,75909e89,2023/02/21 13:27:08,1,164732b9bletest0,null,-67,2,,1676957264000
93242,75909e89,2023/02/21 13:26:20,1,164732b9bletest0,null,-66,2,,1676957264000
93243,75909e89,2023/02/21 13:27:10,1,164732b9bletest0,null,-67,2,,1676957264000
93250,75909e89,2023/02/21 13:26:21,1,164732b9bletest0,null,-63,1,,1676957264000
93251,75909e89,2023/02/21 13:27:11,1,164732b9bletest0,null,-69,2,,1676957264000
93257,75909e89,2023/02/21 13:26:22,1,164732b9bletest0,null,-67,2,,1676957264000
93258,75909e89,2023/02/21 13:27:12,1,164732b9bletest0,null,-60,1,,1676957264000
93263,75909e89,2023/02/21 13:26:24,1,164732b9bletest0,null,-70,2,,1676957264000
93265,75909e89,2023/02/21 13:26:25,1,164732b9bletest0,null,-76,3,,1676957264000
93759,75909e89,2023/02/21 13:27:48,1,164732b9bletest0,null,-53,1,,1676957351000
93763,75909e89,2023/02/21 13:27:49,1,164732b9bletest0,null,-56,1,,1676957351000
93767,75909e89,2023/02/21 13:27:50,1,164732b9bletest0,null,-54,1,,1676957351000
93768,75909e89,2023/02/21 13:28:30,1,164732b9bletest0,null,-56,1,,1676957351000
93772,75909e89,2023/02/21 13:28:31,1,164732b9bletest0,null,-54,1,,1676957351000
93776,75909e89,2023/02/21 13:28:32,1,164732b9bletest0,null,-57,1,,1676957351000
93777,75909e89,2023/02/21 13:27:53,1,164732b9bletest0,null,-54,1,,1676957351000
93778,75909e89,2023/02/21 13:28:33,1,164732b9bletest0,null,-55,1,,1676957351000
93782,75909e89,2023/02/21 13:28:34,1,164732b9bletest0,null,-53.5,1,,1676957351000
93783,75909e89,2023/02/21 13:27:54,1,164732b9bletest0,null,-55,1,,1676957351000
93786,75909e89,2023/02/21 13:27:55,1,164732b9bletest0,null,-56.5,1,,1676957351000
93787,75909e89,2023/02/21 13:28:35,1,164732b9bletest0,null,-51,1,,1676957351000
93799,75909e89,2023/02/21 13:28:38,1,164732b9bletest0,null,-53,1,,1676957351000
94437,75909e89,2023/02/21 13:29:17,1,164732b9bletest0,null,-58.666666666666664,1,,1676957452000
94440,75909e89,2023/02/21 13:29:18,1,164732b9bletest0,null,-61,1,,1676957452000
94448,75909e89,2023/02/21 13:30:07,1,164732b9bletest0,null,-57.5,1,,1676957452000
94449,75909e89,2023/02/21 13:29:20,1,164732b9bletest0,null,-64,1,,1676957452000
94456,75909e89,2023/02/21 13:30:10,1,164732b9bletest0,null,-57,1,,1676957452000
94459,75909e89,2023/02/21 13:29:25,1,164732b9bletest0,null,-59,1,,1676957452000
94460,75909e89,2023/02/21 13:30:11,1,164732b9bletest0,null,-55.5,1,,1676957452000
94463,75909e89,2023/02/21 13:29:26,1,164732b9bletest0,null,-59,1,,1676957452000
95014,75909e89,2023/02/21 13:30:57,1,164732b9bletest0,null,-57,1,,1676957537000
95021,75909e89,2023/02/21 13:30:59,1,164732b9bletest0,null,-61.5,1,,1676957537000
95029,75909e89,2023/02/21 13:31:00,1,164732b9bletest0,null,-57,1,,1676957537000
95038,75909e89,2023/02/21 13:31:01,1,164732b9bletest0,null,-61,1,,1676957537000
95039,75909e89,2023/02/21 13:31:40,1,164732b9bletest0,null,-57,1,,1676957537000
95043,75909e89,2023/02/21 13:31:41,1,164732b9bletest0,null,-64,1,,1676957537000
95049,75909e89,2023/02/21 13:31:43,1,164732b9bletest0,null,-61,1,,1676957537000
95490,75909e89,2023/02/21 13:32:21,1,164732b9bletest0,null,-63.5,1,,1676957627000
95498,75909e89,2023/02/21 13:32:22,1,164732b9bletest0,null,-62,1,,1676957627000
95506,75909e89,2023/02/21 13:32:23,1,164732b9bletest0,null,-59,1,,1676957627000
95519,75909e89,2023/02/21 13:32:26,1,164732b9bletest0,null,-58,1,,1676957627000
95525,75909e89,2023/02/21 13:32:30,1,164732b9bletest0,null,-60,1,,1676957627000
95531,75909e89,2023/02/21 13:32:31,1,164732b9bletest0,null,-60,1,,1676957627000
